"","A549","HEK293T","K562","HeLa"
"hsa-let-7a-2-3p",0.388721989381843,0,0,0.115072296110535
"hsa-let-7a-3p",3.88222397957509,0.91992855250615,0.534597457975789,5.37455472619191
"hsa-let-7a-5p",151.43164937964,22.7475086571228,10.8181045941086,139.129750683488
"hsa-let-7b-3p",2.82506070250462,0.0876732860169638,0.0214203901217674,3.25226164813304
"hsa-let-7b-5p",59.6378755816423,1.29342945033218,0.470350299243462,127.59950698623
"hsa-let-7c-3p",0.371172375142569,0.344799518852114,0.0034813195872269,0.464042239169811
"hsa-let-7c-5p",4.73307426808601,1.53139509093828,0.0951278388392443,7.64505712677053
"hsa-let-7d-3p",6.37833765307828,1.07170944527677,0.218914371318358,26.9632149333354
"hsa-let-7d-5p",3.314383775667,0.307914872856292,0.0391824626627683,10.4033372092901
"hsa-let-7e-3p",0.357498260105034,0.208927283090545,0.164125261043556,0.419211715518311
"hsa-let-7e-5p",50.8182482126513,13.5489127069887,8.14403128346795,36.922690667777
"hsa-let-7f-1-3p",0.563120707693705,0.00759889967932643,0.026729123534371,1.05945632105771
"hsa-let-7f-5p",52.9443656293394,16.4223220159948,3.77854911999334,98.4861971270392
"hsa-let-7g-3p",0.0378937916840277,0,0.00608591204990769,0.0911053462210434
"hsa-let-7g-5p",10.3969760805148,3.20382853578215,0.414730273820554,18.6742473772422
"hsa-let-7i-3p",0.392547263365587,0.00526094276094276,0.00651239243155801,0.196783081662788
"hsa-let-7i-5p",7.00559643453914,0.123031670249526,0.0471095828418732,8.76747668238483
"hsa-miR-100-3p",0.0403487194165334,0,0,0.0203738498386633
"hsa-miR-100-5p",65.1552237740693,0.418567034209397,0.267241195674926,29.6431688352266
"hsa-miR-101-3p",50.4025412606058,67.4112007196556,62.854657815547,54.9305288327236
"hsa-miR-101-5p",0.355523053795711,0.113805183756887,0.0744907670362962,0.159746610124142
"hsa-miR-10395-3p",0.26901356096897,0.785624264185112,0.486811753718947,0.408189273696695
"hsa-miR-10395-5p",0.285455060123344,2.26018980915164,1.1433547042474,0.711872236167189
"hsa-miR-10396b-3p",0.00458364043724263,0.241956838328142,0.0222107528403938,0.0472951635668863
"hsa-miR-10399-3p",0.0233727750397255,0.0223836553024808,0.0455478319197829,0.0691613871129036
"hsa-miR-10399-5p",0.0342050076492261,0.0101514547954702,0.0441811854485589,0.0564752430024222
"hsa-miR-103a-1-5p",0.0440180670868668,0.0906767188189077,0.0271606861335493,0.0612174974331171
"hsa-miR-103a-2-5p",0.584514767112691,1.32271320280799,0.46517130546599,0.367533567602099
"hsa-miR-103a-3p",105.786352670975,183.068431234822,70.0603610036296,89.9135931291101
"hsa-miR-10401-3p",2.21850487098876,2.86030151066675,1.3013805538079,1.78648938763132
"hsa-miR-10401-5p",0.0671866502109443,0.212632876090926,0.0429636072080804,0.0480675823935861
"hsa-miR-105-5p",2.51372278636558,8.91193666048384,3.92223348038197,6.44762126351325
"hsa-miR-106a-5p",15.275893374921,82.8905385485051,170.733870456304,29.7643624254943
"hsa-miR-106b-3p",0.65837893114139,0.891803675718215,1.42028461240748,1.15047417278463
"hsa-miR-106b-5p",245.027501269044,402.309209526354,301.841727784305,335.944762974167
"hsa-miR-107",10.8954387331362,26.3959476043602,7.84581884154197,12.3006395322071
"hsa-miR-10a-3p",0.0334635835378438,0.0826299356982437,0.0139512245448609,0.00464518670398919
"hsa-miR-10a-5p",0.00794197005580154,0.216651023109826,0.059919403129847,0.0286913910542997
"hsa-miR-1179",0.024665565832059,0.0217073661821352,0.0111737599703428,0.0083800672130854
"hsa-miR-1180-3p",5.63186229974284,11.7968040931235,1.94892670001337,5.0414385484848
"hsa-miR-1180-5p",0.107929001258766,0.280214710168455,0.0710624348422146,0.0710594223823718
"hsa-miR-1185-1-3p",0.324125896911157,0,0,0
"hsa-miR-1185-2-3p",0.211314157600182,0,0,0
"hsa-miR-12136",5.07615645162135,4.28884755810117,2.72595606525354,1.66292749353942
"hsa-miR-122-5p",0.0391784990337225,0.0362950005799006,0.0297993573556039,0.0399419156235094
"hsa-miR-1226-3p",0.0390476848041336,0.252339774321705,0.0811582276722678,0.254514300682018
"hsa-miR-1226-5p",0.022203704490538,0.332477312629796,0.327583373272637,0.113148094742378
"hsa-miR-1228-3p",0.0504122647713719,0.0227432723350049,0,0.0669601235916203
"hsa-miR-1228-5p",0.148722701941508,0.0776698763821199,0,0.0931080415448923
"hsa-miR-1229-3p",0.0436838692266348,0.0493658451076008,0.0080022014219422,0.076324912786562
"hsa-miR-1234-3p",0.00450837114353932,0.0381694970937102,0.0169881236717879,0.0158656568081625
"hsa-miR-124-3p",0.219115225516236,0.0591423592217315,0,0
"hsa-miR-124-5p",0.317195301235576,0.172301598656239,0,0
"hsa-miR-1246",0.0391728512250394,0.100121347372247,0.448561127738413,0.0246461728864357
"hsa-miR-1247-5p",0.0151299900964708,0.188277139622161,0,0.0390905986476007
"hsa-miR-1248",0.0222346633566282,0.0499892268558415,0.00361697664156485,0.0101715327279237
"hsa-miR-1249-3p",0.217475619055698,0.915670380875259,0.0795274266703605,0.28715376024523
"hsa-miR-1255a",0.00367834762739221,0.100457906909181,0.0155244542009065,0.0446515935547444
"hsa-miR-1255b-5p",0.0427124239534626,0.0442974399740223,0.207829397512185,0.0119119587131511
"hsa-miR-125a-3p",0.147222403030803,0.0300922637954451,0.0478350810737988,0.053297150787108
"hsa-miR-125a-5p",102.565534723037,57.7304223501066,50.0164609374299,76.1536213571069
"hsa-miR-125b-1-3p",0.0409255943561187,0,0,0.00449004736101957
"hsa-miR-125b-2-3p",0.209190103327058,0.144184308622267,0,0.207469384038185
"hsa-miR-125b-5p",196.277655985412,33.3043462260107,1.78802986422953,108.278731696036
"hsa-miR-126-3p",1.14659914372204,0.745711417095903,7.51205095472335,1.7536427637286
"hsa-miR-126-5p",0.350540104953017,0.476407075299267,5.62966071659621,0.669633500497218
"hsa-miR-1260a",0.0592660827910914,0.221130175596787,0.0714038106018548,0.154934095899292
"hsa-miR-1260b",9.30005551408562,27.7316349454773,8.13322337209599,14.2501751215185
"hsa-miR-1268a",2.31808255566647,3.67025973417874,3.87013619219765,2.97621296650723
"hsa-miR-1268b",2.40537517458709,3.78780037693807,3.95706168870124,3.19536216387368
"hsa-miR-1269b",0.701450749317923,3.52889850167264,0,0
"hsa-miR-127-3p",0.563507802365727,0,0.0155219227078351,0
"hsa-miR-1271-3p",0,0.187579198702697,0.00329237617373211,0.187453131119862
"hsa-miR-1271-5p",0,4.28484807006036,0.0156747411057552,2.13306535657704
"hsa-miR-1272",0.0276193562142815,0.0775335215984943,0,0.0318653320127366
"hsa-miR-1273h-3p",0,0.135922385005774,3.22911078530473,0.0117012528490569
"hsa-miR-1273h-5p",0,0,0.509675871294045,0.00582325037530849
"hsa-miR-1275",0.13330216513761,0.6360615370638,0.697437505047024,0.630244845009419
"hsa-miR-1276",0.00335162426415089,0.0415282004463247,0,0.0361423143242854
"hsa-miR-1277-5p",0.288512538869623,1.07806548821449,0.291588701673449,0.372063257903907
"hsa-miR-128-1-5p",0.0477726350199781,0.376163985843324,0.483757565830337,0.105577306013125
"hsa-miR-128-3p",24.9080349145263,75.9289524539981,38.4624480778356,64.6044224845233
"hsa-miR-1284",0.215153034488085,0.640179277623485,0.200587223233919,0.453527100262368
"hsa-miR-1285-3p",1.89666425602499,2.83807220718523,4.0212023208886,2.14737972483926
"hsa-miR-1285-5p",0.354003918042958,0.653430250081926,0.691718942804886,0.312246137675787
"hsa-miR-1286",0.0042920665441997,0.0116188108693757,0.00551084423929408,0.0410111672247456
"hsa-miR-129-1-3p",0.161374441131329,0.0266794122195302,0.0740918285182363,0.0178354567216742
"hsa-miR-129-2-3p",0.30748217144189,2.9698104163466,0.423173328425106,0.141981042463034
"hsa-miR-129-5p",0.0599292955347048,0.499475026337967,0.0327613140312553,0.03589188714404
