"","A549","HEK293T","K562","HeLa"
"ABCG1",0.088240650645807,0.0487091848720179,0.00154852714325573,0.106050864983155
"ABCG2",0.357365023849236,0.0500298347556719,0.00296215956842987,0.0418868512171411
"ABCG4",0.00123208685735355,0.0227670129688104,0,0.012733702168856
"ABCG5",0,0.00145676735876247,0,0
"ABCG8",0,0.000958854759933482,0.000461549988391062,0.00030079547197775
"ABHD1",0.00169013705791536,0.0300721474452608,0.00799742996604302,0.00064407928939657
"ABHD10",0.301502785814138,0.456708669635807,0.143336512713974,0.291911712574761
"ABHD11",0.0870104525878615,0.150516729010035,0.172234889444582,0.0376043950146337
"ABHD12",0.637493744778276,0.320762164147289,0.179300746147261,0.377813269253503
"ABHD12B",0,0.000754028072946896,0,0.000369757429447784
"ABHD13",0.163948531493649,0.0596187255257508,0.118404350261161,0.138927546580104
"ABHD14A",0.0527717717841379,0.159110151269107,0.106602802762529,0.197617523567681
"ABHD14A-ACY1",0.0376514453723414,0.157753647828438,0.482337442059898,0.366990383638181
"ABHD14B",0.158326586473,0.482986370895694,0.574446621041389,0.800321703999046
"ABHD15",0.127012741240909,0.0829428652423639,0.0360390658401322,0.0871753052172058
"ABHD16A",0.0647112984971347,0.172900662052162,0.665214820071287,0.138659742389713
"ABHD17A",0.0266581125245004,0.0995130521199953,0.0958783536881518,0.0585001126807924
"ABHD17B",0.249775530247498,0.278476228142587,0.165576352299403,0.142602020056751
"ABHD17C",1.08905362516315,0.303268704037048,0.00528923660051148,0.444314205896041
"ABHD18",0.101685769597139,0.238800661632228,0.264758976472484,0.162836130695585
"ABHD2",1.02280371748824,0.34469908505767,0.665192186589682,0.356137533452529
"ABHD3",0.181719101210703,0.216684463181533,0.138337962344871,0.113799652536954
"ABHD4",0.65954070903323,0.0635857125707498,0.0744715922478199,0.114041276130621
"ABHD5",0.466039757787145,0.207155953693805,0.712834626276802,0.320670081105696
"ABHD6",0.170037862636438,0.11375549779181,0.0740041864331324,0.104954481008078
"ABHD8",0.0377735047934319,0.0314323891958855,0.0298536538239359,0.179465558097701
"ABI1",0.608364371427685,0.486950103938032,0.499024569166676,0.439488144544075
"ABI2",0.534277730607269,1.20961318505603,0.26732517114826,0.543943617467175
"ABI3BP",0.00120212274264534,0.010349523243361,0.000270700687109369,0.000211098540886425
"ABITRAM",0.173096280190013,0.170332057486261,0.255456466223289,0.163456345040313
"ABL1",0.725268356111866,0.321657401361837,1.06594249075193,0.567913232696906
"ABL2",2.45890005739869,0.73550340950432,0.363805893030248,0.354538590523038
